"UID","left","right","TestR","Sex","Age","UTM_X","UTM_Y","NR_Bears"
"102","1982-03-15","1984-06-17","N","F",2,494000,4957000,1
"103","1974-03-15","1984-06-07","P","M",10,548000,4964000,1
"112","1973-03-15","1999-07-19","P","M",26,556000,4971000,1
"124","1980-03-15","1994-05-18","N","F",14,587000,4925000,0
"125","1983-03-15","1993-07-29","P","F",10,548000,4962000,1
"132","1985-03-15","2002-09-18","P","F",17,567000,4964000,1
"136","1983-03-15","1994-05-17","N","F",11,589000,4921000,0
"141","1986-03-15","1991-05-17","N","M",20,488000,4959000,1
"141","1991-05-17","2006-08-12","N","M",20,488000,4959000,1
"155","1986-03-15","2004-10-11","P","M",18,547000,4969000,1
"179","1989-03-15","2001-05-26","P","F",12,541000,4848000,0
"191","1977-03-15","1991-07-13","P","M",14,482000,4989000,1
"193","1986-03-15","1991-09-29","P","F",5,512000,4941000,1
"196","1985-03-15","2000-07-17","P","F",15,538000,4951000,1
"201","1990-03-15","2009-06-10","N","M",19,556000,4903000,0
"201031","1994-03-15","2010-09-20","N","F",16,513000,5019000,1
"201041","2004-03-15","2010-10-11","P","M",6,521000,4988000,1
"201108","2003-03-15","2011-07-18","P","F",8,483000,4948000,1
"201110","2006-03-15","2011-08-01","N","M",5,546000,4933000,0
"201130","2003-03-15","2011-09-28","N","F",8,541000,4949000,1
"201131","2011-03-15","2011-09-29","N","M",0.5,541000,4949000,1
"201132","2011-03-15","2011-09-29","N","M",0.5,541000,4949000,1
"201137","2003-03-15","2011-10-21","P","M",8,556000,4856000,0
"201142","2001-03-15","2011-11-11","P","M",10,639000,4921000,0
"201229","2007-03-15","2012-09-17","P","M",5,548000,4722000,0
"201232","2010-03-15","2012-09-18","N","M",2,676000,4903000,0
"201301","2003-03-15","2013-03-23","N","M",10,636000,4977000,1
"201307","2008-03-15","2013-05-27","N","F",5,614000,4851000,0
"201314","2008-03-15","2013-07-23","N","M",5,674000,4834000,0
"204","1990-03-15","2007-10-13","P","M",17,555000,4913000,0
"205","1984-03-15","2006-09-12","P","F",22,538000,4940000,1
"206","1974-03-15","1997-10-15","P","M",23,515000,4941000,1
"211","1990-03-15","1997-10-17","N","M",7,538000,4951000,1
"211","1997-10-17","2008-10-21","N","M",18,547000,4969000,1
"211","2008-10-21","2011-09-15","N","M",21,538000,4951000,1
"211","2011-09-15","2013-09-19","N","M",23,556000,4971000,1
"213","1992-03-15","1998-07-12","N","F",6,477000,4986000,1
"213","1998-07-12","2002-06-01","N","F",10,477000,4986000,1
"214","1992-03-15","1997-10-23","N","F",5,518000,4986000,1
"214","1997-10-23","2002-10-17","N","F",10,518000,4986000,1
"219","1990-03-15","1997-10-23","N","M",7,537000,4969000,1
"219","1997-10-23","1999-06-30","P","M",9,538000,4951000,1
"220","1983-03-15","1994-05-12","N","M",11,587000,4925000,0
"227","1992-03-15","1994-07-23","N","M",2,482000,4918000,0
"227","1994-07-23","2005-07-30","N","M",13,473000,4901000,0
"227","2005-07-30","2009-10-21","N","M",17,514000,4941000,1
"227","2009-10-21","2010-10-15","N","M",18,515000,4942000,1
"227","2010-10-15","2012-06-24","N","M",20,471000,4908000,0
"227","2012-06-24","2013-07-18","N","M",21,473000,4896000,0
"227","2013-07-18","2014-07-09","N","M",22,471000,4907000,0
"228","1990-03-15","2014-08-28","P","M",24,518000,4987000,1
"239","1989-03-15","2006-08-02","N","M",17,474000,4995000,1
"243","1991-03-15","2004-06-02","N","M",13,587000,4925000,0
"259","1993-03-15","1995-09-23","N","M",2,517000,4992000,1
"260","1991-03-15","1998-10-18","P","M",7,547000,4968000,1
"263","1988-03-15","1995-09-29","P","M",7,653000,4864000,0
"265","1988-03-15","2008-10-22","P","F",20,518000,4987000,1
"273","1988-03-15","2004-08-19","N","M",16,614000,4963000,1
"279","1993-03-15","2008-08-28","N","F",15,587000,4831000,0
"279","2008-08-28","2010-08-03","N","F",17,580000,4831000,0
"281","1992-03-15","2002-09-23","N","M",10,525000,4950000,1
"281","2002-09-23","2011-09-04","P","M",19,538000,4951000,1
"286","1993-03-15","1998-08-23","N","M",5,607000,5024000,1
"287","1989-03-15","1999-10-10","P","M",10,538000,4951000,1
"289","1994-03-15","1998-07-24","N","F",4,470000,4993000,1
"289","1998-07-24","2007-08-13","N","F",13,470000,4993000,1
"290","1994-03-15","1999-07-30","N","M",5,551000,4983000,1
"292","1991-03-15","2000-05-03","P","M",9,540000,4856000,0
"293","1994-03-15","1997-08-08","N","M",3,581000,4802000,0
"295","1993-03-15","1999-10-08","P","F",6,515000,4941000,1
"301","1995-03-15","1997-10-28","N","M",2,518000,4989000,1
"302","1988-03-15","2008-08-23","N","M",20,592000,4865000,0
"304","1995-03-15","2012-08-03","N","M",17,577000,4807000,0
"309","1989-03-15","1998-06-12","N","M",9,610000,4949000,1
"314","1993-03-15","1998-07-14","P","M",5,473000,4988000,1
"317","1990-03-15","1999-08-03","P","M",9,551000,4983000,1
"318","1993-03-15","1998-08-28","P","M",5,550000,4984000,1
"321","1992-03-15","1999-06-24","P","F",7,538000,4951000,1
"322","1996-03-15","1998-09-24","N","F",2,517000,4991000,1
"323","1996-03-15","1998-10-04","N","M",2,538000,4939000,1
"323","1998-10-04","2001-10-04","N","M",5,513000,4940000,1
"323","2001-10-04","2002-09-07","N","M",6,514000,4941000,1
"323","2002-09-07","2003-09-11","N","M",7,514000,4941000,1
"323","2003-09-11","2007-04-24","N","M",11,512000,4933000,0
"323","2007-04-24","2010-10-13","N","M",14,513000,4941000,1
"325","1996-03-15","1998-11-10","N","F",2,518000,4989000,1
"325","1998-11-10","1999-07-13","P","F",3,520000,4971000,1
"329","1993-03-15","1999-05-06","N","M",6,587000,4925000,0
"330","1993-03-15","1999-05-12","N","M",6,587000,4925000,0
"332","1992-03-15","2010-09-23","N","F",18,631000,4912000,0
"333","1995-03-15","2009-08-20","N","M",14,613000,4892000,0
"337","1997-03-15","1999-06-10","N","F",2,610000,4949000,1
"337","1999-06-10","2004-08-30","N","F",7,614000,4963000,1
"337","2004-08-30","2010-06-26","N","F",13,643000,4978000,1
"338","1995-03-15","1999-06-18","N","M",4,515000,4941000,1
"338","1999-06-18","2006-10-20","P","M",11,538000,4927000,0
"342","1991-03-15","1999-07-21","P","F",8,548000,4962000,1
"343","1996-03-15","2000-05-10","N","M",4,540000,4856000,0
"343","2000-05-10","2012-09-12","N","M",16,544000,4865000,0
"345","1993-03-15","2004-10-12","P","M",11,518000,4987000,1
"346","1995-03-15","1999-08-28","N","F",4,477000,4928000,0
"349","1994-03-15","1999-09-16","P","F",5,525000,4950000,1
"355","1998-03-15","2002-08-11","N","M",4,469000,4992000,1
"360","1996-03-15","2001-07-09","P","F",5,476000,4986000,1
"363","1998-03-15","2006-10-06","N","M",8,543000,4911000,0
"363","2006-10-06","2007-06-06","N","M",9,555000,4903000,0
"363","2007-06-06","2008-09-25","N","M",10,555000,4903000,0
"365","1981-03-15","2004-08-28","P","F",23,614000,4963000,1
"369","1994-03-15","2014-05-07","N","M",20,608000,4918000,0
"373","1998-03-15","2001-10-04","N","M",3,514000,4941000,1
"373","2001-10-04","2005-07-28","P","M",7,473000,4901000,0
"377","1995-03-15","2001-05-04","N","M",6,534000,4863000,0
"377","2001-05-04","2011-08-24","N","M",16,581000,4811000,0
"379","1999-03-15","2002-05-31","N","M",3,540000,4855000,0
"379","2002-05-31","2007-09-25","P","M",8,572000,4887000,0
"38","1971-03-15","1984-06-10","N","F",13,494000,4957000,1
"387","1993-03-15","2001-06-26","N","M",8,472000,4986000,1
"388","1990-03-15","2001-06-28","P","M",11,476000,4986000,1
"389","1995-03-15","2001-07-06","N","M",6,477000,4986000,1
"389","2001-07-06","2006-06-18","P","M",11,477000,4986000,1
"393","1995-03-15","2001-07-24","P","M",6,558000,4884000,0
"394","1996-03-15","2011-09-04","P","M",15,538000,4951000,1
"397","1995-03-15","2001-08-23","N","M",6,525000,4950000,1
"398","1992-03-15","2001-08-25","N","M",9,524000,4875000,0
"398","2001-08-25","2005-06-01","P","M",13,524000,4875000,0
"399","1996-03-15","2002-09-23","N","F",6,532000,4852000,0
"399","2002-09-23","2003-05-20","N","F",7,532000,4852000,0
"399","2003-05-20","2004-07-15","N","F",8,534000,4863000,0
"399","2004-07-15","2004-10-02","N","F",8,529000,4860000,0
"399","2004-10-02","2005-09-09","N","F",9,529000,4868000,0
"40","1975-03-15","1984-06-03","N","M",9,515000,4935000,1
"400","1994-03-15","2001-08-29","N","M",7,524000,4875000,0
"400","2001-08-29","2008-08-23","P","M",14,491000,4883000,0
"401","1993-03-15","2001-09-01","N","M",8,534000,4863000,0
"401","2001-09-01","2002-09-11","N","M",9,522000,4872000,0
"401","2002-09-11","2005-09-12","N","M",12,529000,4868000,0
"402","1997-03-15","2001-10-02","N","F",4,514000,4941000,1
"402","2001-10-02","2002-09-09","N","F",5,514000,4941000,1
"407","1998-03-15","2013-05-30","N","M",15,614000,4851000,0
"410","1994-03-15","2002-06-19","N","M",8,470000,4993000,1
"412","1993-03-15","2002-07-13","P","F",9,522000,4872000,0
"413","1998-03-15","2002-07-17","N","M",4,522000,4872000,0
"414","2000-03-15","2002-07-17","N","M",2,525000,4850000,0
"416","1997-03-15","2002-08-07","N","F",5,477000,4986000,1
"416","2002-08-07","2011-08-07","P","F",14,474000,4994000,1
"419","2001-03-15","2002-09-05","N","M",1,517000,4991000,1
"419","2002-09-05","2005-06-15","N","M",4,474000,4929000,0
"423","1996-03-15","2011-09-01","N","F",15,613000,4953000,1
"424","1998-03-15","2002-09-25","N","M",4,520000,4971000,1
"425","1985-03-15","2002-10-08","P","F",17,556000,4971000,1
"426","1999-03-15","2002-10-28","N","M",3,531000,4906000,0
"427","1997-03-15","2003-06-16","N","M",6,545000,4932000,0
"429","1997-03-15","2003-06-27","N","M",6,564000,4937000,1
"434","2002-03-15","2008-07-08","N","M",6,611000,4838000,0
"434","2008-07-08","2009-06-28","P","M",7,612000,4952000,1
"441","2000-03-15","2003-08-09","N","M",3,551000,4983000,1
"441","2003-08-09","2004-10-09","N","M",4,556000,4971000,1
"443","1993-03-15","2008-10-03","P","M",15,551000,4983000,1
"444","1995-03-15","2003-08-12","N","M",8,551000,4983000,1
"447","1988-03-15","2003-09-19","P","F",15,538000,4927000,0
"448","2002-03-15","2003-09-19","N","F",1,538000,4927000,0
"448","2003-09-19","2004-10-06","N","F",2,538000,4927000,0
"448","2004-10-06","2005-09-25","P","F",3,538000,4927000,0
"449","1997-03-15","2003-09-21","N","M",6,538000,4951000,1
"45","1979-03-15","1984-06-06","N","M",5,494000,4956000,1
"453","1999-03-15","2004-05-24","N","M",5,570000,4974000,1
"454","1984-03-15","2004-06-02","N","M",20,587000,4925000,0
"460","2002-03-15","2004-08-11","N","M",2,524000,4875000,0
"460","2004-08-11","2005-09-13","N","M",3,524000,4875000,0
"461","1991-03-15","2004-08-13","P","F",13,524000,4875000,0
"463","1995-03-15","2004-08-27","N","M",9,604000,4947000,1
"465","1998-03-15","2011-10-19","N","M",13,638000,4920000,0
"466","1995-03-15","2004-09-07","N","M",9,528000,5025000,1
"468","2002-03-15","2004-09-11","N","M",2,523000,4862000,0
"469","1993-03-15","2004-09-11","N","M",11,563000,4982000,1
"470","1984-03-15","2004-09-12","P","M",20,551000,4983000,1
"471","1999-03-15","2003-06-01","N","M",4,530000,4862000,0
"474","1997-03-15","2004-09-25","N","F",7,524000,4875000,0
"474","2004-09-25","2005-07-06","N","F",8,524000,4875000,0
"474","2005-07-06","2005-09-28","N","F",8,524000,4875000,0
"475","2001-03-15","2005-10-10","N","M",4,547000,4969000,1
"477","1997-03-15","2004-09-29","N","M",7,534000,4863000,0
"478","1992-03-15","2010-09-24","N","F",18,648000,4922000,0
"479","1990-03-15","2004-10-06","N","M",14,518000,4986000,1
"479","2004-10-06","2012-06-07","P","M",22,473000,4897000,0
"480","1996-03-15","2004-10-08","N","M",8,538000,4951000,1
"480","2004-10-08","2005-09-25","N","M",9,547000,4969000,1
"481","2002-03-15","2004-10-10","N","F",2,538000,4927000,0
"481","2004-10-10","2009-07-23","N","F",7,541000,4929000,0
"481","2009-07-23","2010-09-20","N","F",8,540000,4929000,0
"483","1993-03-15","2005-05-05","P","M",12,494000,4946000,1
"484","1997-03-15","2005-05-07","N","M",8,494000,4957000,1
"485","1997-03-15","2005-05-23","N","F",8,491000,4962000,1
"487","1999-03-15","2008-07-27","N","M",9,657000,4872000,0
"488","1998-03-15","2005-05-26","N","M",7,524000,4875000,0
"490","1997-03-15","2005-06-23","P","M",8,477000,4986000,1
"491","2004-03-15","2005-06-27","N","F",1,548000,4929000,0
"492","2004-03-15","2007-10-13","N","F",3,543000,4911000,0
"492","2007-10-13","2008-07-18","N","F",4,543000,4911000,0
"493","1997-03-15","2005-07-06","N","M",8,477000,4986000,1
"493","2005-07-06","2010-08-26","P","M",13,467000,4937000,1
"494","2002-03-15","2005-07-06","N","M",3,534000,4863000,0
"495","2003-03-15","2008-07-22","N","F",5,585000,4986000,1
"497","2002-03-15","2008-08-04","P","F",6,585000,4819000,0
"498","2001-03-15","2010-08-05","P","M",9,579000,4831000,0
"499","1997-03-15","2012-07-29","N","F",15,571000,4800000,0
"50","1974-03-15","1984-09-17","N","F",10,492000,4946000,1
"501","1995-03-15","2005-08-13","N","F",10,559000,4887000,0
"502","2002-03-15","2005-08-19","N","F",3,462000,4907000,0
"502","2005-08-19","2007-08-18","N","F",5,477000,4925000,0
"504","2001-03-15","2008-07-28","P","M",7,584000,4793000,0
"506","2000-03-15","2014-08-02","P","M",14,540000,4856000,0
"507","2003-03-15","2005-08-25","N","F",2,479000,4922000,0
"507","2005-08-25","2007-08-01","N","F",4,473000,4901000,0
"512","1995-03-15","2005-09-13","P","M",10,517000,4974000,1
"513","2000-03-15","2010-09-29","N","M",10,613000,4892000,0
"514","2000-03-15","2005-09-28","N","M",5,529000,4868000,0
"515","1992-03-15","2005-09-28","P","M",13,538000,4927000,0
"516","1995-03-15","2005-10-06","N","M",10,547000,4969000,1
"517","1998-03-15","2010-09-28","N","F",12,620000,4904000,0
"519","1999-03-15","2012-05-12","N","M",13,660000,4856000,0
"520","1999-03-15","2006-05-11","P","M",7,548000,4968000,1
"521","1996-03-15","2006-05-20","N","M",10,534000,4863000,0
"522","1989-03-15","2006-06-02","P","F",17,541000,4857000,0
"524","2000-03-15","2011-08-29","N","M",11,616000,4851000,0
"524","2011-08-29","2012-09-13","N","M",12,609000,4840000,0
"526","2003-03-15","2006-06-22","P","M",3,541000,4857000,0
"527","1998-03-15","2006-06-22","N","M",8,469000,4993000,1
"529","2005-03-15","2006-07-17","N","M",1,474000,4995000,1
"529","2006-07-17","2007-08-02","N","M",2,470000,4993000,1
"533","1992-03-15","2006-07-29","P","F",14,474000,4896000,0
"534","2005-03-15","2006-07-30","N","M",1,471000,4993000,1
"535","2003-03-15","2006-08-03","N","M",3,473000,4901000,0
"538","2002-03-15","2012-05-13","N","M",10,667000,4856000,0
"539","2004-03-15","2006-08-29","N","F",2,547000,4934000,0
"539","2006-08-29","2007-06-27","N","F",3,547000,4934000,0
"539","2007-06-27","2007-08-19","N","F",3,549000,4934000,0
"541","1995-03-15","2006-09-22","P","F",11,544000,4912000,0
"543","1993-03-15","2006-10-05","N","M",13,555000,4903000,0
"544","2003-03-15","2006-10-06","N","M",3,548000,5055000,1
"546","2001-03-15","2011-09-09","N","M",10,640000,5000000,1
"547","2003-03-15","2003-09-18","N","M",0,514000,4941000,1
"547","2003-09-18","2007-05-01","N","M",4,494000,4946000,1
"547","2007-05-01","2009-08-20","N","M",6,454000,4907000,0
"547","2009-08-20","2013-08-14","N","M",10,468000,4908000,0
"548","1997-03-15","2007-05-02","N","M",10,494000,4946000,1
"549","2001-03-15","2013-05-06","P","M",12,651000,4884000,0
"550","2003-03-15","2009-06-01","N","M",6,615000,4951000,1
"550","2009-06-01","2010-09-07","N","M",7,612000,4952000,1
"552","1999-03-15","2011-11-11","N","M",12,642000,4959000,1
"553","1999-03-15","2009-05-30","N","M",10,593000,4978000,1
"554","2005-03-15","2009-05-30","N","F",4,610000,4959000,1
"555","2000-03-15","2007-06-03","N","F",7,534000,4917000,0
"556","2003-03-15","2007-06-03","N","M",4,536000,4925000,0
"556","2007-06-03","2007-08-15","N","M",4,471000,4907000,0
"556","2007-08-15","2008-08-21","N","M",5,473000,4901000,0
"556","2008-08-21","2010-10-14","N","M",7,538000,4939000,1
"556","2010-10-14","2012-10-13","N","M",9,544000,4912000,0
"557","1989-03-15","2007-06-15","N","M",18,544000,4911000,0
"559","1997-03-15","2007-07-03","N","F",10,562000,4904000,0
"563","1992-03-15","2007-08-26","N","M",15,480000,4931000,0
"563","2007-08-26","2008-08-24","N","M",16,479000,4922000,0
"565","2004-03-15","2008-08-09","N","M",4,473000,4901000,0
"566","2004-03-15","2007-09-07","N","M",3,513000,4940000,1
"566","2007-09-07","2010-10-15","N","M",6,513000,4941000,1
"566","2010-10-15","2011-10-30","N","M",7,513000,4941000,1
"566","2011-10-30","2013-07-08","N","M",9,538000,4927000,0
"567","1994-03-15","2008-10-04","P","M",14,555000,4903000,0
"568","1992-03-15","2009-06-29","P","M",17,557000,4926000,0
"569","2003-03-15","2009-10-02","N","F",6,623000,4924000,0
"569","2009-10-02","2010-10-17","N","F",7,620000,4923000,0
"570","1994-03-15","2003-06-17","N","M",9,543000,4911000,0
"570","2003-06-17","2007-09-11","N","M",13,565000,4906000,0
