,AID,Sex,Birth.Year,Age,Sample.Year,Trap.Date,Cap.Type,Titer,CDV.INT,B.INT,DT
1,102_1984-06-17,F,1982,2,1984,6/17/1984,RES,6,N,0,6/17/1984
2,103_1984-06-07,M,1974,10,1984,6/7/1984,RES,384,P,1,6/7/1984
3,112_1999-07-19,M,1973,26,1999,7/19/1999,RES,96,P,1,7/19/1999
4,124_1994-05-18,F,1980,14,1994,5/18/1994,RES,4,N,0,5/18/1994
5,125_1993-07-29,F,1983,10,1993,7/29/1993,RES,128,P,1,7/29/1993
6,125_2000-08-27,F,1983,17,2000,8/27/2000,RES,128,P,1,8/27/2000
7,125_2006-09-25,F,1983,23,2006,9/25/2006,RES,128,P,1,9/25/2006
8,132_2002-09-18,F,1985,17,2002,9/18/2002,RES,256,P,1,9/18/2002
9,136_1994-05-17,F,1983,11,1994,5/17/1994,RES,4,N,0,5/17/1994
10,141_1991-05-17,M,1986,5,1991,5/17/1991,RES,Inf,N,0,5/17/1991
11,155_2004-10-11,M,1986,18,2004,10/11/2004,RES,48,P,1,10/11/2004
12,155_2011-09-02,M,1986,25,2011,9/2/2011,RES,40,P,1,9/2/2011
13,179_2001-05-26,F,1989,12,2001,5/26/2001,RES,128,P,1,5/26/2001
14,179_2012-06-25,F,1989,23,2012,6/25/2012,RES,64,P,1,6/25/2012
15,191_1991-07-13,M,1977,14,1991,7/13/1991,RES,128,P,1,7/13/1991
16,193_1991-09-29,F,1986,5,1991,9/29/1991,RES,512,P,1,9/29/1991
17,193_2001-10-02,F,1986,15,2001,10/2/2001,RES,256,P,1,10/2/2001
18,193_2003-07-27,F,1986,17,2003,7/27/2003,RES,384,P,1,7/27/2003
19,193_2013-06-20,F,1986,27,2013,6/20/2013,RES,256,P,1,6/20/2013
20,193_2014-08-21,F,1986,28,2014,8/21/2014,RES,128,P,1,8/21/2014
21,196_2000-07-17,F,1985,15,2000,7/17/2000,RES,512,P,1,7/17/2000
22,196_2003-09-18,F,1985,18,2003,9/18/2003,RES,384,P,1,9/18/2003
23,201_2009-06-10,M,1990,19,2009,6/10/2009,RES,8,N,0,6/10/2009
24,201110_2011-08-01,M,2006,5,2011,8/1/2011,MGT,3,N,0,8/1/2011
25,201130_2011-09-29,F,2003,8,2011,9/29/2011,MGT,4,N,0,9/29/2011
26,201131_2011-09-29,M,2011,0,2011,9/29/2011,MGT,4,N,0,9/29/2011
27,201132_2011-09-29,M,2011,0,2011,9/29/2011,MGT,4,N,0,9/29/2011
28,201137_2011-10-21,M,2003,8,2011,10/21/2011,MGT,48,P,1,10/21/2011
29,201142_2011-11-11,M,2001,10,2011,11/11/2011,MGT,256,P,1,11/11/2011
30,201229_2012-09-17,M,2007,5,2012,9/17/2012,MGT,384,P,1,9/17/2012
31,201232_2012-09-18,M,2010,2,2012,9/18/2012,MGT,4,N,0,9/18/2012
32,201301_2013-03-23,M,2003,10,2013,3/23/2013,MGT,4,N,0,3/23/2013
33,201307_2013-05-27,F,2008,5,2013,5/27/2013,RES,16,N,0,5/27/2013
34,201314_2013-07-23,M,2008,5,2013,7/23/2013,MGT,4,N,0,7/23/2013
35,204_2007-10-13,M,1990,17,2007,10/13/2007,RES,192,P,1,10/13/2007
36,204_2008-10-07,M,1990,18,2008,10/7/2008,RES,256,P,1,10/7/2008
37,204_2011-10-15,M,1990,21,2011,10/15/2011,RES,384,P,1,10/15/2011
38,205_2006-09-12,F,1984,22,2006,9/12/2006,RES,192,P,1,9/12/2006
39,206_1997-10-15,M,1974,23,1997,10/15/1997,RES,32,P,1,10/15/1997
40,211_1997-10-17,M,1990,7,1997,10/17/1997,RES,Inf,N,0,10/17/1997
41,211_2008-10-21,M,1990,18,2008,10/21/2008,RES,Inf,N,0,10/21/2008
42,211_2011-09-15,M,1990,21,2011,9/15/2011,RES,16,N,0,9/15/2011
43,211_2013-09-19,M,1990,23,2013,9/19/2013,RES,6,N,0,9/19/2013
44,213_1998-07-12,F,1992,6,1998,7/12/1998,RES,4,N,0,7/12/1998
45,213_2002-06-01,F,1992,10,2002,6/1/2002,RES,4,N,0,6/1/2002
46,214_1997-10-23,F,1992,5,1997,10/23/1997,RES,4,N,0,10/23/1997
47,214_2002-10-17,F,1992,10,2002,10/17/2002,RES,4,N,0,10/17/2002
48,219_1997-10-23,M,1990,7,1997,10/23/1997,RES,4,N,0,10/23/1997
49,219_1999-06-30,M,1990,9,1999,6/30/1999,RES,256,P,1,6/30/1999
50,219_2003-09-10,M,1990,13,2003,9/10/2003,RES,192,P,1,9/10/2003
51,219_2013-06-10,M,1990,23,2013,6/10/2013,RES,64,P,1,6/10/2013
52,219_2013-08-21,M,1990,23,2013,8/21/2013,RES,128,P,1,8/21/2013
53,220_1994-05-12,M,1983,11,1994,5/12/1994,RES,8,N,0,5/12/1994
54,227_1994-07-23,M,1992,2,1994,7/23/1994,RES,Inf,N,0,7/23/1994
55,227_2005-07-30,M,1992,13,2005,7/30/2005,RES,Inf,N,0,7/30/2005
56,227_2010-10-15,M,1992,18,2010,10/15/2010,RES,8,N,0,10/15/2010
57,227_2012-06-24,M,1992,20,2012,6/24/2012,RES,7,N,0,6/24/2012
58,227_2013-07-18,M,1992,21,2013,7/18/2013,RES,Inf,N,0,7/18/2013
59,227_2014-07-09,M,1992,22,2014,7/9/2014,RES,Inf,N,0,7/9/2014
60,228_2014-08-28,M,1990,24,2014,8/28/2014,RES,96,P,1,8/28/2014
61,239_2006-08-02,M,1989,17,2006,8/2/2006,RES,16,N,0,8/2/2006
62,243_2004-06-02,M,1991,13,2004,6/2/2004,RES,4,N,0,6/2/2004
63,259_1995-09-23,M,1993,2,1995,9/23/1995,MGT,4,N,0,9/23/1995
64,260_1998-10-18,M,1991,7,1998,10/18/1998,RES,48,P,1,10/18/1998
65,260_2002-09-20,M,1991,11,2002,9/20/2002,RES,48,P,1,9/20/2002
66,263_1995-09-29,M,1988,7,1995,9/29/1995,MGT,384,P,1,9/29/1995
67,265_2008-10-22,F,1988,20,2008,10/22/2008,MGT,128,P,1,10/22/2008
68,273_2004-08-19,M,1988,16,2004,8/19/2004,RES,4,N,0,8/19/2004
69,279_2008-08-28,F,1993,15,2008,8/28/2008,MGT,12,N,0,8/28/2008
70,279_2010-08-03,F,1993,17,2010,8/3/2010,MGT,16,N,0,8/3/2010
71,281_2002-09-23,M,1992,10,2002,9/23/2002,RES,4,N,0,9/23/2002
72,281_2011-09-04,M,1992,19,2011,9/4/2011,RES,192,P,1,9/4/2011
73,281_2013-06-23,M,1992,21,2013,6/23/2013,RES,Inf,P,1,6/23/2013
74,286_1998-08-23,M,1993,5,1998,8/23/1998,MGT,4,N,0,8/23/1998
75,287_1999-10-10,M,1989,10,1999,10/10/1999,RES,48,P,1,10/10/1999
76,287_2005-09-13,M,1989,16,2005,9/13/2005,RES,32,P,1,9/13/2005
77,289_1998-07-24,F,1994,4,1998,7/24/1998,RES,4,N,0,7/24/1998
78,289_2007-08-13,F,1994,13,2007,8/13/2007,RES,6,N,0,8/13/2007
79,290_1999-07-30,M,1994,5,1999,7/30/1999,RES,8,N,0,7/30/1999
80,292_2000-05-03,M,1991,9,2000,5/3/2000,RES,192,P,1,5/3/2000
81,293_1997-08-08,M,1994,3,1997,8/8/1997,RES,4,N,0,8/8/1997
82,295_1999-10-08,F,1993,6,1999,10/8/1999,RES,32,P,1,10/8/1999
83,295_2003-09-18,F,1993,10,2003,9/18/2003,RES,48,P,1,9/18/2003
84,295_2007-09-08,F,1993,14,2007,9/8/2007,RES,24,P,1,9/8/2007
85,301_1997-10-28,M,1995,2,1997,10/28/1997,MGT,4,N,0,10/28/1997
86,302_2008-08-23,M,1988,20,2008,8/23/2008,RES,4,N,0,8/23/2008
87,304_2012-08-03,M,1995,17,2012,8/3/2012,MGT,4,N,0,8/3/2012
88,309_1998-06-12,M,1989,9,1998,6/12/1998,RES,8,N,0,6/12/1998
89,314_1998-07-14,M,1993,5,1998,7/14/1998,RES,48,P,1,7/14/1998
90,317_1999-08-03,M,1990,9,1999,8/3/1999,RES,256,P,1,8/3/1999
91,318_1998-08-28,M,1993,5,1998,8/28/1998,RES,24,P,1,8/28/1998
92,318_2003-09-08,M,1993,10,2003,9/8/2003,RES,16,N,0,9/8/2003
93,321_1999-06-24,F,1992,7,1999,6/24/1999,RES,512,P,1,6/24/1999
94,321_2004-10-08,F,1992,12,2004,10/8/2004,RES,384,P,1,10/8/2004
95,321_2011-09-22,F,1992,19,2011,9/22/2011,RES,768,P,1,9/22/2011
96,322_1998-09-24,F,1996,2,1998,9/24/1998,MGT,16,N,0,9/24/1998
97,323_1998-10-04,M,1996,2,1998,10/4/1998,RES,Inf,N,0,10/4/1998
98,323_2001-10-04,M,1996,5,2001,10/4/2001,RES,Inf,N,0,10/4/2001
99,323_2002-09-07,M,1996,6,2002,9/7/2002,RES,Inf,N,0,9/7/2002
100,323_2003-09-11,M,1996,7,2003,9/11/2003,RES,Inf,N,0,9/11/2003
101,323_2007-04-24,M,1996,11,2007,4/24/2007,RES,Inf,N,0,4/24/2007
102,323_2010-10-13,M,1996,14,2010,10/13/2010,RES,4,N,0,10/13/2010
103,325_1998-11-10,F,1996,2,1998,11/10/1998,MGT,4,N,0,11/10/1998
104,325_1999-07-13,F,1996,3,1999,7/13/1999,MGT,384,P,1,7/13/1999
105,325_2001-07-03,F,1996,5,2001,7/3/2001,MGT,512,P,1,7/3/2001
106,329_1999-05-06,M,1993,6,1999,5/6/1999,RES,4,N,0,5/6/1999
107,330_1999-05-12,M,1993,6,1999,5/12/1999,RES,6,N,0,5/12/1999
108,332_2010-09-23,F,1992,18,2010,9/23/2010,MGT,4,N,0,9/23/2010
109,333_2009-08-20,M,1995,14,2009,8/20/2009,MGT,6,N,0,8/20/2009
110,337_1999-06-10,F,1997,2,1999,6/10/1999,RES,4,N,0,6/10/1999
111,337_2004-08-30,F,1997,7,2004,8/30/2004,RES,4,N,0,8/30/2004
112,337_2010-06-26,F,1997,13,2010,6/26/2010,MGT,4,N,0,6/26/2010
113,338_1999-06-18,M,1995,4,1999,6/18/1999,RES,4,N,0,6/18/1999
114,338_2006-10-20,M,1995,11,2006,10/20/2006,RES,1024,P,1,10/20/2006
115,338_2007-07-18,M,1995,12,2007,7/18/2007,RES,Inf,P,1,7/18/2007
116,338_2009-07-22,M,1995,14,2009,7/22/2009,RES,384,P,1,7/22/2009
117,338_2010-09-15,M,1995,15,2010,9/15/2010,RES,512,P,1,9/15/2010
118,342_1999-07-21,F,1991,8,1999,7/21/1999,RES,512,P,1,7/21/1999
119,343_2000-05-10,M,1996,4,2000,5/10/2000,RES,8,N,0,5/10/2000
120,343_2012-09-12,M,1996,16,2012,9/12/2012,MGT,8,N,0,9/12/2012
121,345_2004-10-12,M,1993,11,2004,10/12/2004,RES,128,P,1,10/12/2004
122,346_1999-08-28,F,1995,4,1999,8/28/1999,RES,6,N,0,8/28/1999
123,349_1999-09-16,F,1994,5,1999,9/16/1999,RES,384,P,1,9/16/1999
124,349_2003-09-04,F,1994,9,2003,9/4/2003,RES,192,P,1,9/4/2003
125,355_2002-08-11,M,1998,4,2002,8/11/2002,RES,4,N,0,8/11/2002
126,360_2001-07-09,F,1996,5,2001,7/9/2001,RES,1536,P,1,7/9/2001
127,360_2008-07-17,F,1996,12,2008,7/17/2008,RES,768,P,1,7/17/2008
128,360_2011-07-15,F,1996,15,2011,7/15/2011,RES,384,P,1,7/15/2011
129,363_2006-10-06,M,1998,8,2006,10/6/2006,RES,4,N,0,10/6/2006
130,363_2007-06-06,M,1998,9,2007,6/6/2007,RES,8,N,0,6/6/2007
131,363_2008-09-25,M,1998,10,2008,9/25/2008,RES,8,N,0,9/25/2008
132,365_2004-08-28,F,1981,23,2004,8/28/2004,RES,96,P,1,8/28/2004
133,369_2014-05-07,M,1994,20,2014,5/7/2014,RES,6,N,0,5/7/2014
134,373_2001-10-04,M,1998,3,2001,10/4/2001,RES,4,N,0,10/4/2001
135,373_2005-07-28,M,1998,7,2005,7/28/2005,RES,768,P,1,7/28/2005
136,373_2007-08-28,M,1998,9,2007,8/28/2007,RES,512,P,1,8/28/2007
137,373_2008-08-12,M,1998,10,2008,8/12/2008,RES,768,P,1,8/12/2008
138,373_2012-07-05,M,1998,14,2012,7/5/2012,RES,128,P,1,7/5/2012
139,377_2001-05-04,M,1995,6,2001,5/4/2001,RES,4,N,0,5/4/2001
140,377_2011-08-24,M,1995,16,2011,8/24/2011,MGT,4,N,0,8/24/2011
141,379_2002-05-31,M,1999,3,2002,5/31/2002,RES,4,N,0,5/31/2002
142,379_2007-09-25,M,1999,8,2007,9/25/2007,RES,192,P,1,9/25/2007
143,379_2013-08-30,M,1999,14,2013,8/30/2013,RES,96,P,1,8/30/2013
144,38_1984-06-10,F,1971,13,1984,6/10/1984,RES,4,N,0,6/10/1984
145,387_2001-06-26,M,1993,8,2001,6/26/2001,RES,12,N,0,6/26/2001
146,388_2001-06-28,M,1990,11,2001,6/28/2001,RES,128,P,1,6/28/2001
147,389_2001-07-06,M,1995,6,2001,7/6/2001,RES,4,N,0,7/6/2001
148,389_2006-06-18,M,1995,11,2006,6/18/2006,RES,512,P,1,6/18/2006
149,393_2001-07-24,M,1995,6,2001,7/24/2001,RES,192,P,1,7/24/2001
150,394_2011-09-04,M,1996,15,2011,9/4/2011,RES,64,P,1,9/4/2011
151,394_2014-09-11,M,1996,18,2014,9/11/2014,RES,Inf,P,1,9/11/2014
152,397_2001-08-23,M,1995,6,2001,8/23/2001,RES,4,N,0,8/23/2001
153,398_2001-08-25,M,1992,9,2001,8/25/2001,RES,8,N,0,8/25/2001
154,398_2005-06-01,M,1992,13,2005,6/1/2005,RES,32,P,1,6/1/2005
155,399_2002-09-23,F,1996,6,2002,9/23/2002,RES,4,N,0,9/23/2002
156,399_2003-05-20,F,1996,7,2003,5/20/2003,RES,4,N,0,5/20/2003
157,399_2004-07-15,F,1996,8,2004,7/15/2004,RES,4,N,0,7/15/2004
158,399_2004-10-02,F,1996,8,2004,10/2/2004,RES,4,N,0,10/2/2004
159,399_2005-09-09,F,1996,9,2005,9/9/2005,RES,4,N,0,9/9/2005
160,40_1984-06-03,M,1975,9,1984,6/3/1984,RES,8,N,0,6/3/1984
161,400_2001-08-29,M,1994,7,2001,8/29/2001,RES,6,N,0,8/29/2001
162,400_2008-08-23,M,1994,14,2008,8/23/2008,RES,64,P,1,8/23/2008
163,400_2010-09-05,M,1994,16,2010,9/5/2010,MGT,32,P,1,9/5/2010
164,401_2001-09-01,M,1993,8,2001,9/1/2001,RES,4,N,0,9/1/2001
165,401_2002-09-11,M,1993,9,2002,9/11/2002,RES,4,N,0,9/11/2002
166,401_2005-09-12,M,1993,12,2005,9/12/2005,RES,4,N,0,9/12/2005
167,402_2001-10-02,F,1997,4,2001,10/2/2001,RES,6,N,0,10/2/2001
168,402_2002-09-09,F,1997,5,2002,9/9/2002,RES,4,N,0,9/9/2002
169,407_2013-05-30,M,1998,15,2013,5/30/2013,RES,4,N,0,5/30/2013
170,410_2002-06-19,M,1994,8,2002,6/19/2002,RES,4,N,0,6/19/2002
171,412_2002-07-13,F,1993,9,2002,7/13/2002,RES,192,P,1,7/13/2002
172,413_2002-07-17,M,1998,4,2002,7/17/2002,RES,4,N,0,7/17/2002
173,414_2002-07-17,M,2000,2,2002,7/17/2002,RES,4,N,0,7/17/2002
174,416_2002-08-07,F,1997,5,2002,8/7/2002,RES,4,N,0,8/7/2002
175,416_2011-08-07,F,1997,14,2011,8/7/2011,RES,40,P,1,8/7/2011
176,419_2002-09-05,M,2001,1,2002,9/5/2002,MGT,6,N,0,9/5/2002
177,419_2005-06-15,M,2001,4,2005,6/15/2005,MGT,4,N,0,6/15/2005
178,423_2011-09-01,F,1996,15,2011,9/1/2011,MGT,4,N,0,9/1/2011
179,424_2002-09-25,M,1998,4,2002,9/25/2002,RES,4,N,0,9/25/2002
180,425_2002-10-08,F,1985,17,2002,10/8/2002,RES,256,P,1,10/8/2002
181,426_2002-10-28,M,1999,3,2002,10/28/2002,RES,4,N,0,10/28/2002
182,427_2003-06-16,M,1997,6,2003,6/16/2003,RES,4,N,0,6/16/2003
183,429_2003-06-27,M,1997,6,2003,6/27/2003,RES,4,N,0,6/27/2003
184,434_2008-07-08,M,2002,6,2008,7/8/2008,MGT,4,N,0,7/8/2008
185,434_2009-06-28,M,2002,7,2009,6/28/2009,MGT,32,P,1,6/28/2009
186,441_2003-08-09,M,2000,3,2003,8/9/2003,RES,4,N,0,8/9/2003
187,441_2004-10-09,M,2000,4,2004,10/9/2004,RES,8,N,0,10/9/2004
188,443_2008-10-03,M,1993,15,2008,10/3/2008,RES,48,P,1,10/3/2008
189,444_2003-08-12,M,1995,8,2003,8/12/2003,RES,4,N,0,8/12/2003
190,447_2003-09-19,F,1988,15,2003,9/19/2003,RES,48,P,1,9/19/2003
191,448_2003-09-19,F,2002,1,2003,9/19/2003,RES,4,N,0,9/19/2003
192,448_2004-10-06,F,2002,2,2004,10/6/2004,RES,4,N,0,10/6/2004
193,448_2005-09-25,F,2002,3,2005,9/25/2005,RES,128,P,1,9/25/2005
194,448_2008-06-14,F,2002,6,2008,6/14/2008,RES,512,P,1,6/14/2008
195,448_2008-07-26,F,2002,6,2008,7/26/2008,RES,192,P,1,7/26/2008
196,448_2009-07-09,F,2002,7,2009,7/9/2009,RES,384,P,1,7/9/2009
197,448_2010-09-16,F,2002,8,2010,9/16/2010,RES,192,P,1,9/16/2010
198,448_2011-10-04,F,2002,9,2011,10/4/2011,RES,192,P,1,10/4/2011
199,449_2003-09-21,M,1997,6,2003,9/21/2003,RES,4,N,0,9/21/2003
200,45_1984-06-06,M,1979,5,1984,6/6/1984,RES,4,N,0,6/6/1984
201,453_2004-05-24,M,1999,5,2004,5/24/2004,MGT,4,N,0,5/24/2004
202,454_2004-06-02,M,1984,20,2004,6/2/2004,RES,8,N,0,6/2/2004
