Cornell.Accession.Number,Cornell.ID,WolfID,Date.Capture.Death,Year.data.reflects,Sex,Pelt.Color,Recollared,Pack,Location.of.first.capture,Northern.Range.Pack,YNP,Previously.Vaccinated,CDV_simplified
66416-08,5,525F,1/19/2006,2005,FEMALE,BLACK,NO,AGATE CREEK,YNP,1,1,0,192
66416-08,23,542F,2/8/2006,2005,FEMALE,GRAY,NO,YELLOWSTONE DELTA,YNP,0,1,0,6
66418-08,110,225M,1/21/2001,2000,MALE,GRAY,NO,YELLOWSTONE DELTA,YNP,0,1,0,6
66418-08,111,226M,1/21/2001,2000,MALE,GRAY,NO,YELLOWSTONE DELTA,YNP,0,1,0,6
66418-08,112,227M,1/21/2001,2000,MALE,GRAY,NO,YELLOWSTONE DELTA,YNP,0,1,0,6
141523-11,17,661M,2/21/2010,2009,MALE,BLACK,ADULT,YELLOWSTONE DELTA,YNP,0,1,0,8
141523-11,18,760M,2/21/2010,2009,MALE,GRAY,ADULT,YELLOWSTONE DELTA,YNP,0,1,0,8
66418-08,15,035M,1/9/1998,1997,MALE,BLACK,YES,THOROFARE,CANADA,0,1,1,128
66418-08,59,128M,1/9/1998,1997,MALE,BLACK,NO,THOROFARE,YNP,0,1,0,6
66418-08,60,129F,1/9/1998,1997,FEMALE,BLACK,NO,THOROFARE,YNP,0,1,0,6
72438-14,5,872F,2/3/2013,NA,FEMALE,GRAY,YEARLING,YELLOWSTONE DELTA,,0,1,0,12
66416-08,24,543M,2/8/2006,2005,MALE,BLACK,NO,BECHLER,YNP,0,1,0,8
66416-08,25,544M,2/8/2006,2005,MALE,BLACK,NO,BECHLER,YNP,0,1,0,8
66416-08,26,545F,2/8/2006,2005,FEMALE,BLACK,NO,BECHLER,YNP,0,1,0,6
31943-09,17,633F,2/21/2009,2008,FEMALE,BLACK,YES,YELLOWSTONE DELTA,YNP,0,1,0,8
31943-09,19,713F,2/21/2009,2008,FEMALE,BLACK,NO,YELLOWSTONE DELTA,YNP,0,1,0,768
31943-09,20,714F,2/21/2009,2008,FEMALE,BLACK,NO,YELLOWSTONE DELTA,YNP,0,1,0,768
141523-11,3,760M,1/28/2011,2010,MALE,GRAY,ADULT,YELLOWSTONE DELTA,YNP,0,1,0,16
141523-11,4,780M,1/28/2011,2010,MALE,GRAY,PUP,YELLOWSTONE DELTA,YNP,0,1,0,12
66418-08,114,243M,12/10/2001,2001,MALE,BLACK,NO,YELLOWSTONE DELTA,YNP,0,1,0,8
66418-08,115,244M,12/10/2001,2001,MALE,GRAY,NO,YELLOWSTONE DELTA,YNP,0,1,0,16
66418-08,116,245M,12/10/2001,2001,MALE,BLACK,NO,YELLOWSTONE DELTA,YNP,0,1,0,16
66418-08,117,246M,12/10/2001,2001,MALE,GRAY,NO,YELLOWSTONE DELTA,YNP,0,1,0,12
66418-08,118,247M,12/10/2001,2001,MALE,GRAY,NO,YELLOWSTONE DELTA,YNP,0,1,0,12
66418-08,55,123M,1/8/1998,1997,MALE,GRAY,NO,SODA BUTTE,YNP,0,1,0,6
65544-08,9,633F,1/24/2008,2007,FEMALE,BLACK,NO,YELLOWSTONE DELTA,YNP,0,1,0,8
65544-08,10,634F,1/24/2008,2007,FEMALE,BLACK,NO,YELLOWSTONE DELTA,YNP,0,1,0,6
65544-08,11,635F,1/24/2008,2007,FEMALE,GRAY,NO,YELLOWSTONE DELTA,YNP,0,1,0,6
82744-12,69,828M,2/5/2012,2011,Male,Gray,Pup,YELLOWSTONE DELTA,YNP,0,1,0,16
82744-12,68,827M,2/5/2012,2011,Male,Gray,Yearling,YELLOWSTONE DELTA,YNP,0,1,0,8
66418-08,182,474M,1/21/2005,2004,MALE,BLACK,NO,BISCUIT BASIN,YNP,0,1,0,12
66418-08,183,475F,1/21/2005,2004,FEMALE,GRAY,NO,BISCUIT BASIN,YNP,0,1,0,12
141523-11,1,636M,3/23/2011,2010,MALE,GRAY,ADULT,MARY MOUNTAIN,YNP,0,1,0,4
141523-11,2,794F,3/23/2011,2010,FEMALE,BLACK,ADULT,MARY MOUNTAIN,YNP,0,1,0,16
65544-08,23,537F,2/15/2008,2007,FEMALE,GRAY,YES,GIBBON MEADOWS,YNP,0,1,0,8
65544-08,21,646F,2/15/2008,2007,FEMALE,GRAY,NO,GIBBON MEADOWS,YNP,0,1,0,8
65544-08,22,647M,2/15/2008,2007,MALE,GRAY,NO,GIBBON MEADOWS,YNP,0,1,0,4
66418-08,188,484M,1/25/2005,2004,MALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,12
NA,NA,485F,1/25/2005,2004,FEMALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,12
72438-14,18,924F,1/17/2014,NA,FEMALE,BLACK,PUP,MOLLIE'S,,0,1,0,8
82744-12,59,818F,2/3/2012,2011,FEMALE,GRAY,Pup,MARY MOUNTAIN,YNP,0,1,0,16
82744-12,60,819F,2/3/2012,2011,Female,Gray,Yearling,MARY MOUNTAIN,YNP,0,1,0,32
66418-08,120,249M,2/3/2002,2001,MALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,6
66416-08,21,193M,2/7/2006,2005,MALE,BLACK,YES,MOLLIE'S,YNP,0,1,0,192
141523-11,8,779F,1/27/2011,2010,FEMALE,BLACK,PUP,MOLLIE'S,YNP,0,1,0,4
66418-08,190,486F,1/25/2005,2004,FEMALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,6
72438-14,17,779F,1/17/2014,NA,FEMALE,BLACK,ADULT,MOLLIE'S,,0,1,0,4
66418-08,22,047M,9/16/1996,1996,MALE,GRAY,YES,NEZ PERCE,"Fishtail, MT-transported to YNP Nez Perce pen",0,1,1,384
31943-09,2,495M,1/15/2009,2008,MALE,BLACK,YES,MOLLIE'S,YNP,0,1,0,384
31943-09,5,686F,1/15/2009,2008,FEMALE,GRAY,NO,MOLLIE'S,YNP,0,1,0,96
66418-08,81,193M,2/4/2000,1999,MALE,BLACK,NO,CRYSTAL,YNP,0,1,0,768
66418-08,82,194M,2/4/2000,1999,MALE,BLACK,NO,CRYSTAL,YNP,0,1,0,768
141523-11,21,758M,2/20/2010,2009,MALE,BLACK,PUP,MOLLIE'S,YNP,0,1,0,16
141523-11,22,759F,2/20/2010,2009,FEMALE,GRAY,PUP,MOLLIE'S,YNP,0,1,0,8
66417-08,8,586M,1/29/2007,2006,MALE,GRAY,NO,MOLLIE'S,YNP,0,1,0,768
66417-08,9,587M,1/29/2007,2006,MALE,GRAY,NO,MOLLIE'S,YNP,0,1,0,384
66418-08,195,495M,2/22/2005,2004,MALE,BLACK,NO,MOLLIE'S,YNP,0,1,0,12
66418-08,196,496F,2/22/2005,2004,FEMALE,BLACK,NO,MOLLIE'S,YNP,0,1,0,6
NA,NA,497M,2/22/2005,2004,MALE,BLACK,NO,MOLLIE'S,YNP,0,1,0,12
66418-08,153,343M,11/13/2003,2003,MALE,BLACK,NO,MOLLIE'S,YNP,0,1,0,12
66418-08,131,261M,2/5/2002,2001,MALE,GRAY,NO,MOLLIE'S,YNP,0,1,0,12
66418-08,132,262M,2/5/2002,2001,MALE,BLACK,NO,MOLLIE'S,YNP,0,1,0,12
65544-08,15,640F,2/14/2008,2007,FEMALE,GRAY,NO,MOLLIE'S,YNP,0,1,0,8
65544-08,16,641M,2/14/2008,2007,MALE,GRAY,NO,MOLLIE'S,YNP,0,1,0,8
82744-12,67,826F,2/5/2012,2011,Female,Gray,Pup,MARY MOUNTAIN,YNP,0,1,0,16
66418-08,2,006M,3/11/1998,1997,MALE,BLACK,YES,CRYSTAL,CANADA,0,1,1,64
66418-08,52,118M,3/12/1998,1997,MALE,BLACK,NO,CRYSTAL,YNP,0,1,0,6
66418-08,53,120M,3/12/1998,1997,MALE,GRAY,NO,CRYSTAL,YNP,0,1,0,6
66418-08,61,136F,3/12/1998,1997,FEMALE,BLACK,NO,CRYSTAL,YNP,0,1,0,6
66416-08,15,537F,1/25/2006,2005,FEMALE,GRAY,NO,GIBBON MEADOWS,YNP,0,1,0,6
66416-08,16,538M,1/25/2006,2005,MALE,GRAY,NO,GIBBON MEADOWS,YNP,0,1,0,12
66416-08,17,539F,1/25/2006,2005,FEMALE,GRAY,NO,GIBBON MEADOWS,YNP,0,1,0,8
66418-08,20,044F,2/8/1999,1998,FEMALE,BLACK,YES,SODA BUTTE,YNP,0,1,1,512
66418-08,56,123M,2/8/1999,1998,MALE,GRAY,YES,SODA BUTTE,YNP,0,1,0,6
66418-08,57,124M,2/8/1999,1998,MALE,GRAY,NO,SODA BUTTE,YNP,0,1,0,6
66418-08,58,126F,2/8/1999,1998,FEMALE,BLACK,NO,SODA BUTTE,YNP,0,1,0,6
66418-08,151,305M,2/13/2003,2002,MALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,12
NA,NA,306F,2/13/2003,2002,FEMALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,12
31943-09,6,687M,1/16/2009,2008,MALE,BLACK,NO,GIBBON MEADOWS,YNP,0,1,0,4
31943-09,7,688M,1/16/2009,2008,MALE,GRAY,NO,GIBBON MEADOWS,YNP,0,1,0,16
31943-09,8,689M,1/16/2009,2008,MALE,BLACK,NO,GIBBON MEADOWS,YNP,0,1,0,8
141523-11,13,768F,3/24/2010,2009,FEMALE,GRAY,PUP,GIBBON MEADOWS,YNP,0,1,0,8
141523-11,14,769M,3/24/2010,2009,MALE,GRAY,YEARLING,GIBBON MEADOWS,YNP,0,1,0,12
141523-11,15,762M,3/8/2010,2009,MALE,BLACK,ADULT,MADISON,YNP,0,1,0,384
141523-11,16,763F,3/8/2010,2009,FEMALE,GRAY,YEARLING,MADISON,YNP,0,1,0,768
66418-08,186,481M,1/23/2005,2004,MALE,BLACK,NO,GIBBON MEADOWS,YNP,0,1,0,12
66417-08,6,577M,1/5/2007,2006,MALE,GRAY,NO,GIBBON MEADOWS,YNP,0,1,0,8
66417-08,7,578F,1/5/2007,2006,FEMALE,BLACK,NO,GIBBON MEADOWS,YNP,0,1,0,8
72438-14,21,478F,3/8/2014,NA,FEMALE,BLACK,OLD ADULT,COUGAR CREEK,,0,1,0,24
72438-14,22,953F,3/8/2014,NA,FEMALE,GRAY,PUP,COUGAR CREEK,,0,1,0,8
82744-12,74,712M,2/7/2012,2011,Male,Black,Adult,CANYON,YNP,0,1,0,192
82744-12,72,831F,2/7/2012,2011,FEMALE,BLACK,Pup,CANYON,YNP,0,1,0,16
82744-12,66,825F,2/5/2012,2011,Female,Black,Pup,COUGAR CREEK,YNP,0,1,0,8
66418-08,184,478F,1/21/2005,2004,FEMALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,12
66418-08,185,479M,1/21/2005,2004,MALE,GRAY,NO,COUGAR CREEK,YNP,0,1,0,12
66418-08,85,201F,1/15/2001,2000,FEMALE,BLACK,NO,CHIEF JOSEPH,YNP,0,1,0,512
66418-08,86,202M,1/15/2001,2000,MALE,BLACK,NO,CHIEF JOSEPH,YNP,0,1,0,6
NA,NA,203M,1/15/2001,2000,MALE,BLACK,NO,CHIEF JOSEPH,YNP,0,1,0,8
66418-08,79,191M,1/20/2000,1999,MALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,6
66416-08,19,540F,1/26/2006,2005,FEMALE,GRAY,NO,HAYDEN VALLEY,YNP,0,1,0,192
66416-08,20,541M,1/26/2006,2005,MALE,GRAY,NO,HAYDEN VALLEY,YNP,0,1,0,256
66418-08,173,389M,2/12/2004,2003,MALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,12
65544-08,8,632F,1/24/2008,2007,FEMALE,GRAY,NO,COUGAR CREEK,YNP,0,1,0,32
65544-08,12,636M,1/24/2008,2007,MALE,GRAY,NO,COUGAR CREEK,YNP,0,1,0,8
66418-08,139,291M,1/8/2003,2002,MALE,GRAY,NO,COUGAR CREEK,YNP,0,1,0,16
66418-08,148,303M,2/12/2003,2002,MALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,192
66418-08,150,304M,2/12/2003,2002,MALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,192
66418-08,54,122M,1/12/1999,1998,MALE,GRAY,NO,CRYSTAL,YNP,0,1,0,6
66418-08,149,303M,1/26/2006,2005,MALE,BLACK,YES,COUGAR CREEK,YNP,0,1,0,192
66416-08,18,303M,1/26/2006,2005,MALE,BLACK,YES,COUGAR CREEK,YNP,0,1,0,128
141523-11,19,478F,2/20/2010,2009,FEMALE,BLACK,ADULT,COUGAR CREEK,YNP,0,1,0,96
141523-11,20,757F,2/20/2010,2009,FEMALE,BLACK,PUP,COUGAR CREEK,YNP,0,1,0,16
66418-08,126,256M,2/3/2002,2001,MALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,256
66418-08,127,257M,2/3/2002,2001,MALE,GRAY,NO,COUGAR CREEK,YNP,0,1,0,12
66418-08,128,258M,2/3/2002,2001,MALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,12
66418-08,172,383M,1/15/2004,2003,MALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,12
66416-08,8,529F,1/19/2006,2005,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,192
66418-08,9,021M,1/6/1998,1997,MALE,BLACK,YES,DRUID PEAK,YNP,1,1,1,128
66418-08,46,104M,1/6/1998,1997,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,48,106F,1/6/1998,1997,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,6
66417-08,3,569F,12/31/2006,2006,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,128
66417-08,4,570M,12/31/2006,2006,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,8
66417-08,5,571F,12/31/2006,2006,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,16
66418-08,143,295M,1/9/2003,2002,MALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,12
66418-08,144,296M,1/9/2003,2002,MALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,12
66418-08,179,471F,1/17/2005,2004,FEMALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,6
66418-08,180,472F,1/17/2005,2004,FEMALE,BLACK,NO,AGATE CREEK,YNP,1,1,0,12
141523-11,11,775M,1/3/2011,2010,MALE,GRAY,PUP,AGATE CREEK,YNP,1,1,0,8
141523-11,29,753F,2/3/2010,2009,FEMALE,GRAY,PUP,SILVER,YNP,1,1,0,8
141523-11,30,SW147M,2/3/2010,2009,MALE,BLACK,ADULT,SILVER,YNP,1,1,0,96
141523-11,9,586M,1/3/2011,2010,MALE,GRAY,OLD ADULT,AGATE CREEK,YNP,1,1,0,192
141523-11,10,641M,1/3/2011,2010,MALE,GRAY,ADULT,AGATE CREEK,YNP,1,1,0,64
66418-08,17,042F,1/17/1999,1998,FEMALE,BLACK,YES,DRUID PEAK,CANADA,1,1,1,384
66418-08,47,105F,1/17/1999,1998,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,72,163M,1/17/1999,1998,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,6
65544-08,17,642F,2/15/2008,2007,FEMALE,BLACK,NO,AGATE CREEK,YNP,1,1,0,8
65544-08,18,643F,2/15/2008,2007,FEMALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,8
65544-08,19,644F,2/15/2008,2007,FEMALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,8
82744-12,63,822F,2/4/2012,2011,Female,Black,Yearling,MOLLIE'S,YNP,0,1,0,8
82744-12,64,823F,2/4/2012,2011,Female,Gray,Pup,MOLLIE'S,YNP,0,1,0,16
82744-12,65,824M,2/4/2012,2011,Male,Gray,Pup,MOLLIE'S,YNP,0,1,0,8
NA,NA,024F,8/6/1996,1996,FEMALE,BLACK,YES,SODA BUTTE,YNP,1,1,0,6
66418-08,165,373M,1/14/2004,2003,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,166,374M,1/14/2004,2003,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,24
66418-08,167,375F,1/14/2004,2003,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,45,103F,10/17/1997,1997,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
72438-14,1,759F,2/2/2013,NA,FEMALE,GRAY,ADULT,755M GROUP,,1,1,0,6
66418-08,176,453M,10/2/2004,2004,MALE,GRAY,NO,SLOUGH CREEK,YNP,1,1,0,12
31943-09,9,690F,1/16/2009,2008,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,768
31943-09,10,691F,1/16/2009,2008,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,512
31943-09,16,472F,2/21/2009,2008,FEMALE,BLACK,YES,AGATE CREEK,YNP,1,1,0,192
31943-09,21,715F,2/21/2009,2008,FEMALE,GRAY,NO,AGATE CREEK,YNP,0,1,0,1024
72438-14,19,925M,1/17/2014,NA,MALE,GRAY,ADULT,LAMAR CANYON,,1,1,0,6
72438-14,20,926F,1/17/2014,NA,FEMALE,BLACK,ADULT,LAMAR CANYON,,1,1,0,6
66418-08,18,043M,8/16/1996,1996,MALE,GRAY,YES,SODA BUTTE,YNP,0,1,1,6
66418-08,19,044F,8/16/1996,1996,FEMALE,BLACK,YES,SODA BUTTE,YNP,0,1,1,6
66418-08,107,221M,1/20/2001,2000,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,108,222M,1/20/2001,2000,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,109,224M,1/20/2001,2000,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,4,016F,10/9/1995,1995,FEMALE,BLACK,YES,ROSE,YNP,1,1,1,96
66418-08,6,017F,10/9/1995,1995,FEMALE,GRAY,YES,ROSE,YNP,1,1,1,384
66418-08,7,019F,10/9/1995,1995,FEMALE,BLACK,YES,ROSE,YNP,1,1,1,768
66418-08,8,021M,10/9/1995,1995,MALE,BLACK,YES,ROSE,YNP,1,1,1,384
66418-08,11,022M,10/9/1995,1995,MALE,BLACK,YES,ROSE,YNP,1,1,1,384
66418-08,101,216F,1/19/2001,2000,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,102,217F,1/19/2001,2000,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,104,218F,1/19/2001,2000,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,105,219M,1/19/2001,2000,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,6
65544-08,20,645F,2/15/2008,2007,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,8
82744-12,61,820F,2/4/2012,2011,Female,Gray,Pup,LAMAR CANYON,YNP,1,1,0,8
82744-12,73,832F,2/4/2012,2011,FEMALE,GRAY,Adult,LAMAR CANYON,YNP,1,1,0,256
NA,NA,489M,1/27/2005,2004,MALE,BLACK,NO,SLOUGH CREEK,YNP,1,1,0,6
NA,NA,490M,1/27/2005,2004,MALE,BLACK,NO,SLOUGH CREEK,YNP,1,1,0,12
66418-08,194,491M,1/27/2005,2004,MALE,GRAY,NO,SLOUGH CREEK,YNP,1,1,0,12
65544-08,13,638M,2/14/2008,2007,MALE,BLACK,NO,HAYDEN VALLEY,YNP,0,1,0,8
65544-08,14,639M,2/14/2008,2007,MALE,GRAY,NO,HAYDEN VALLEY,YNP,0,1,0,8
